month,node_name,item,value
Jan-25,VIRTUAL_NODE,sell_price,1000
Jan-25,VIRTUAL_NODE,unit_process_cost,120
Jan-25,VIRTUAL_NODE,unit_purchase_cost,400
Feb-25,VIRTUAL_NODE,sell_price,1000
Feb-25,VIRTUAL_NODE,unit_process_cost,120
Feb-25,VIRTUAL_NODE,unit_purchase_cost,400
Mar-25,VIRTUAL_NODE,sell_price,1000
Mar-25,VIRTUAL_NODE,unit_process_cost,120
Mar-25,VIRTUAL_NODE,unit_purchase_cost,400
Apr-25,VIRTUAL_NODE,sell_price,1000
Apr-25,VIRTUAL_NODE,unit_process_cost,120
Apr-25,VIRTUAL_NODE,unit_purchase_cost,400
May-25,VIRTUAL_NODE,sell_price,1000
May-25,VIRTUAL_NODE,unit_process_cost,120
May-25,VIRTUAL_NODE,unit_purchase_cost,400
Jun-25,VIRTUAL_NODE,sell_price,1000
Jun-25,VIRTUAL_NODE,unit_process_cost,120
Jun-25,VIRTUAL_NODE,unit_purchase_cost,400
Jul-25,VIRTUAL_NODE,sell_price,1000
Jul-25,VIRTUAL_NODE,unit_process_cost,120
Jul-25,VIRTUAL_NODE,unit_purchase_cost,400
Aug-25,VIRTUAL_NODE,sell_price,1000
Aug-25,VIRTUAL_NODE,unit_process_cost,120
Aug-25,VIRTUAL_NODE,unit_purchase_cost,400
Sep-25,VIRTUAL_NODE,sell_price,1000
Sep-25,VIRTUAL_NODE,unit_process_cost,120
Sep-25,VIRTUAL_NODE,unit_purchase_cost,400
Oct-25,VIRTUAL_NODE,sell_price,1000
Oct-25,VIRTUAL_NODE,unit_process_cost,120
Oct-25,VIRTUAL_NODE,unit_purchase_cost,400
Nov-25,VIRTUAL_NODE,sell_price,1000
Nov-25,VIRTUAL_NODE,unit_process_cost,120
Nov-25,VIRTUAL_NODE,unit_purchase_cost,400
Dec-25,VIRTUAL_NODE,sell_price,1000
Dec-25,VIRTUAL_NODE,unit_process_cost,120
Dec-25,VIRTUAL_NODE,unit_purchase_cost,400
Jan-26,VIRTUAL_NODE,sell_price,1000
Jan-26,VIRTUAL_NODE,unit_process_cost,120
Jan-26,VIRTUAL_NODE,unit_purchase_cost,400
Feb-26,VIRTUAL_NODE,sell_price,1000
Feb-26,VIRTUAL_NODE,unit_process_cost,120
Feb-26,VIRTUAL_NODE,unit_purchase_cost,400
Mar-26,VIRTUAL_NODE,sell_price,1000
Mar-26,VIRTUAL_NODE,unit_process_cost,120
Mar-26,VIRTUAL_NODE,unit_purchase_cost,400
Apr-26,VIRTUAL_NODE,sell_price,1000
Apr-26,VIRTUAL_NODE,unit_process_cost,120
Apr-26,VIRTUAL_NODE,unit_purchase_cost,400
May-26,VIRTUAL_NODE,sell_price,1000
May-26,VIRTUAL_NODE,unit_process_cost,120
May-26,VIRTUAL_NODE,unit_purchase_cost,400
Jun-26,VIRTUAL_NODE,sell_price,1000
Jun-26,VIRTUAL_NODE,unit_process_cost,120
Jun-26,VIRTUAL_NODE,unit_purchase_cost,400
